===== MAG =====
Time (UTC), geodetic latitude (degrees), geodetic longitude (degrees), alt (km above WGS-84 ellipsoid), magnetic declination (degrees), inclination (degrees), total intensity (nT), horizontal (nT), north (nT), east (nT), vertical (nT), magnetic latitude (degrees), magnetic longitude (degrees), magnetic local time (hours)
2019-01-16 08:58:10,  20.61,   -90.39,    516.82,   0.06,    49.57, 32079.6, 20805.2, 20805.2,    20.2, 24418.1,  34.14,   -18.36,  2.93
2019-01-16 08:59:00,  23.77,   -90.28,    516.90,  -0.30,    52.99, 33609.4, 20230.8, 20230.5,  -105.7, 26838.5,  36.88,   -18.19,  2.96
2019-01-16 08:59:50,  26.93,   -90.16,    517.04,  -0.64,    56.17, 35130.5, 19556.3, 19555.1,  -218.6, 29184.0,  39.65,   -17.99,  2.99
2019-01-16 09:00:40,  30.09,   -90.01,    517.23,  -0.98,    59.14, 36621.7, 18783.1, 18780.3,  -321.1, 31437.9,  42.45,   -17.77,  3.01
2019-01-16 09:01:30,  33.24,   -89.84,    517.46,  -1.33,    61.93, 38061.7, 17912.9, 17908.0,  -416.4, 33583.1,  45.27,   -17.53,  3.04
2019-01-16 09:02:20,  36.39,   -89.65,    517.72,  -1.72,    64.54, 39429.9, 16948.9, 16941.2,  -507.8, 35601.3,  48.10,   -17.25,  3.07
2019-01-16 09:03:10,  39.54,   -89.42,    518.00,  -2.16,    67.01, 40705.6, 15896.1, 15884.8,  -598.4, 37473.5,  50.95,   -16.94,  3.11
2019-01-16 09:04:00,  42.68,   -89.15,    518.30,  -2.68,    69.35, 41868.9, 14762.6, 14746.4,  -690.7, 39180.0,  53.80,   -16.59,  3.15
2019-01-16 09:04:50,  45.83,   -88.82,    518.60,  -3.32,    71.57, 42901.3, 13560.5, 13537.7,  -786.5, 40701.8,  56.65,   -16.18,  3.19
2019-01-16 09:05:40,  48.96,   -88.44,    518.89,  -4.13,    73.68, 43786.8, 12306.9, 12274.9,  -886.3, 42021.7,  59.50,   -15.70,  3.23
2019-01-16 09:06:30,  52.09,   -87.97,    519.16,  -5.15,    75.66, 44513.5, 11024.1, 10979.5,  -990.5, 43126.8,  62.34,   -15.12,  3.28
2019-01-16 09:07:20,  55.22,   -87.41,    519.41,  -6.48,    77.52, 45075.4,  9739.5,  9677.4, -1098.5, 44010.6,  65.17,   -14.40,  3.34
2019-01-16 09:08:10,  58.34,   -86.71,    519.63,  -8.20,    79.25, 45473.5,  8484.5,  8397.9, -1209.7, 44675.0,  67.98,   -13.49,  3.42
2019-01-16 09:09:00,  61.45,   -85.83,    519.79, -10.46,    80.82, 45716.9,  7292.6,  7171.5, -1323.6, 45131.5,  70.77,   -12.29,  3.51
2019-01-16 09:09:50,  64.55,   -84.72,    519.91, -13.43,    82.23, 45822.9,  6197.3,  6027.8, -1439.6, 45401.9,  73.53,   -10.67,  3.63
2019-01-16 09:10:40,  67.63,   -83.27,    519.96, -17.32,    83.45, 45816.3,  5230.1,  4993.0, -1557.0, 45516.8,  76.24,    -8.36,  3.80
2019-01-16 09:11:30,  70.69,   -81.32,    519.94, -22.27,    84.45, 45727.6,  4418.6,  4089.0, -1674.6, 45513.6,  78.90,    -4.88,  4.05
2019-01-16 09:12:20,  73.71,   -78.60,    519.85, -28.22,    85.24, 45590.8,  3784.1,  3334.3, -1789.3, 45433.5,  81.47,     0.83,  4.44
2019-01-16 09:13:10,  76.68,   -74.61,    519.69, -34.56,    85.79, 45440.3,  3338.1,  2748.9, -1893.8, 45317.5,  83.85,    11.31,  5.15
2019-01-16 09:14:00,  79.54,   -68.32,    519.44, -39.73,    86.10, 45308.0,  3078.2,  2367.5, -1967.3, 45203.3,  85.76,    32.99,  6.61
2019-01-16 09:14:50,  82.17,   -57.50,    519.10, -40.58,    86.21, 45220.1,  2986.8,  2268.4, -1943.0, 45121.4,  86.40,    72.32,  9.25
2019-01-16 09:15:40,  84.26,   -37.39,    518.68, -31.60,    86.15, 45195.2,  3037.9,  2587.5, -1591.7, 45092.9,  85.23,   106.50, 11.54
2019-01-16 09:16:30,  85.06,    -4.30,    518.17,  -8.73,    85.93, 45242.2,  3209.1,  3171.9,  -486.8, 45128.2,  83.12,   123.45, 12.68
2019-01-16 09:17:20,  84.02,    27.32,    517.58,  13.61,    85.59, 45360.3,  3489.7,  3391.7,   821.3, 45225.8,  80.68,   131.93, 13.26
2019-01-16 09:18:10,  81.82,    45.75,    516.91,  23.60,    85.11, 45538.7,  3882.3,  3557.7,  1554.1, 45372.9,  78.10,   136.74, 13.59
2019-01-16 09:19:00,  79.14,    55.73,    516.15,  25.90,    84.48, 45758.3,  4397.9,  3956.3,  1920.8, 45546.5,  75.44,   139.78, 13.81
2019-01-16 09:19:50,  76.26,    61.60,    515.32,  24.86,    83.70, 45993.6,  5050.3,  4582.2,  2123.5, 45715.5,  72.73,   141.85, 13.96
2019-01-16 09:20:40,  73.28,    65.37,    514.42,  22.52,    82.73, 46214.9,  5850.8,  5404.6,  2241.0, 45843.0,  69.96,   143.35, 14.07
2019-01-16 09:21:30,  70.25,    67.96,    513.46,  19.78,    81.57, 46390.9,  6804.5,  6402.9,  2303.1, 45889.2,  67.16,   144.47, 14.16
2019-01-16 09:22:20,  67.18,    69.83,    512.45,  17.08,    80.21, 46491.7,  7908.8,  7560.1,  2322.2, 45814.0,  64.32,   145.36, 14.23
2019-01-16 09:23:10,  64.08,    71.22,    511.39,  14.58,    78.64, 46490.1,  9153.8,  8859.2,  2303.6, 45580.0,  61.43,   146.07, 14.30
2019-01-16 09:24:00,  60.98,    72.30,    510.30,  12.35,    76.88, 46364.4, 10523.8, 10280.4,  2250.2, 45154.2,  58.52,   146.67, 14.35
2019-01-16 09:24:50,  57.86,    73.14,    509.19,  10.39,    74.91, 46098.4, 11999.0, 11802.2,  2164.2, 44509.4,  55.57,   147.17, 14.40
2019-01-16 09:25:40,  54.73,    73.82,    508.06,   8.69,    72.74, 45682.4, 13557.3, 13401.7,  2048.3, 43624.3,  52.59,   147.61, 14.44
2019-01-16 09:26:30,  51.59,    74.37,    506.93,   7.21,    70.34, 45113.0, 15175.8, 15055.7,  1905.4, 42483.9,  49.58,   148.00, 14.48
2019-01-16 09:27:20,  48.44,    74.83,    505.81,   5.93,    67.72, 44392.5, 16831.9, 16741.7,  1739.6, 41077.8,  46.57,   148.34, 14.51
2019-01-16 09:28:10,  45.29,    75.20,    504.72,   4.82,    64.84, 43528.1, 18503.3, 18437.8,  1555.2, 39399.6,  43.54,   148.65, 14.55
2019-01-16 09:29:00,  42.14,    75.52,    503.67,   3.86,    61.69, 42531.8, 20168.2, 20122.5,  1356.8, 37446.0,  40.51,   148.92, 14.58
2019-01-16 09:29:50,  38.98,    75.78,    502.66,   3.02,    58.24, 41419.9, 21804.6, 21774.3,  1148.7, 35216.0,  37.50,   149.17, 14.61
2019-01-16 09:30:40,  35.82,    76.01,    501.72,   2.29,    54.43, 40213.1, 23389.3, 23370.6,   934.7, 32711.4,  34.51,   149.39, 14.64
2019-01-16 09:31:30,  32.65,    76.20,    500.84,   1.65,    50.25, 38937.4, 24898.3, 24887.9,   717.5, 29936.5,  31.57,   149.58, 14.66
2019-01-16 09:32:20,  29.48,    76.37,    500.06,   1.09,    45.64, 37624.2, 26305.7, 26301.0,   498.6, 26899.7,  28.70,   149.74, 14.69
2019-01-16 09:33:10,  26.31,    76.51,    499.37,   0.58,    40.56, 36311.3, 27584.6, 27583.2,   278.4, 23613.6,  25.93,   149.87, 14.71
2019-01-16 09:34:00,  23.13,    76.63,    498.78,   0.11,    34.99, 35042.7, 28707.4, 28707.4,    55.9, 20096.7,  23.31,   149.97, 14.73
2019-01-16 09:34:50,  19.95,    76.74,    498.31,  -0.33,    28.91, 33868.0, 29646.9, 29646.4,  -171.1, 16373.7,  20.91,   150.04, 14.75
2019-01-16 09:35:40,  16.77,    76.84,    497.96,  -0.76,    22.33, 32839.5, 30377.4, 30374.7,  -405.6, 12476.0,  18.82,   150.08, 14.76
2019-01-16 09:36:30,  13.59,    76.92,    497.74,  -1.21,    15.29, 32009.0, 30875.7, 30868.9,  -651.2,  8441.9,  17.15,   150.09, 14.78
2019-01-16 09:37:20,  10.41,    77.00,    497.65,  -1.68,     7.90, 31421.2, 31123.3, 31110.0,  -911.9,  4316.2,  16.06,   150.08, 14.79
2019-01-16 09:38:10,   7.23,    77.07,    497.70,  -2.20,     0.28, 31107.4, 31107.0, 31084.2, -1191.4,   149.6,  15.67,   150.03, 14.80
2019-01-16 09:39:00,   4.05,    77.14,    497.89,  -2.78,    -7.40, 31079.7, 30820.9, 30784.7, -1493.4, -4002.5, -16.02,   149.96, 14.81
2019-01-16 09:39:50,   0.86,    77.21,    498.22,  -3.45,   -14.95, 31328.1, 30267.7, 30212.9, -1820.5, -8082.0, -17.08,   149.85, 14.81
2019-01-16 09:40:40,  -2.32,    77.27,    498.70,  -4.23,   -22.21, 31821.3, 29459.6, 29379.3, -2174.7, -12030.3, -18.73,   149.69, 14.82
2019-01-16 09:41:30,  -5.50,    77.34,    499.32,  -5.16,   -29.06, 32511.7, 28419.1, 28303.8, -2557.0, -15791.4, -20.82,   149.49, 14.82
2019-01-16 09:42:20,  -8.68,    77.41,    500.07,  -6.27,   -35.40, 33342.6, 27178.2, 27015.8, -2967.3, -19315.2, -23.24,   149.22, 14.81
2019-01-16 09:43:10, -11.86,    77.49,    500.95,  -7.59,   -41.19, 34256.1, 25778.3, 25552.5, -3404.6, -22560.2, -25.88,   148.89, 14.80
2019-01-16 09:44:00, -15.04,    77.57,    501.96,  -9.17,   -46.42, 35199.1, 24267.2, 23957.1, -3867.0, -25496.7, -28.68,   148.48, 14.79
2019-01-16 09:44:50, -18.22,    77.66,    503.09, -11.05,   -51.08, 36128.2, 22697.2, 22276.0, -4351.9, -28108.4, -31.59,   147.98, 14.77
2019-01-16 09:45:40, -21.39,    77.76,    504.33, -13.29,   -55.20, 37011.6, 21121.5, 20555.6, -4856.4, -30393.1, -34.57,   147.39, 14.74
2019-01-16 09:46:30, -24.56,    77.87,    505.67, -15.93,   -58.81, 37830.1, 19591.0, 18838.8, -5376.7, -32362.2, -37.58,   146.70, 14.71
2019-01-16 09:47:20, -27.73,    78.00,    507.10, -19.00,   -61.93, 38575.8, 18150.9, 17162.2, -5908.7, -34038.7, -40.61,   145.89, 14.67
